PSNR,init_snr,init_sd,iter,sum
-2.0965637516476314,-1.0,20.0,0.0,22931209.557709396
-2.09882542285816,-1.0,20.0,8.0,23006704.0
-2.093366748014053,-1.0,20.0,16.0,23008806.0
-2.0858708968110626,-1.0,20.0,32.0,23002760.0
-2.078747995821063,-1.0,20.0,64.0,22994064.0
-2.0722577141960565,-1.0,20.0,128.0,22985220.0
-2.0672475554463534,-1.0,20.0,256.0,22977428.0
-2.0644122099621782,-1.0,20.0,512.0,22971688.0
-2.063577794526736,-1.0,20.0,1024.0,22966032.0
-2.0967460810287033,-1.0,15.0,0.0,22931358.354028348
-2.0989328430427827,-1.0,15.0,8.0,23006932.0
-2.093502239300873,-1.0,15.0,16.0,23009018.0
-2.0860411358232698,-1.0,15.0,32.0,23002878.0
-2.0789876540857914,-1.0,15.0,64.0,22994076.0
-2.072667091385887,-1.0,15.0,128.0,22985260.0
-2.0680245976469664,-1.0,15.0,256.0,22977704.0
-2.065967170021578,-1.0,15.0,512.0,22972428.0
-2.0667809823001355,-1.0,15.0,1024.0,22967532.0
-2.0966974803216245,-1.0,10.0,0.0,22930459.588306624
-2.0983710665449045,-1.0,10.0,8.0,23005468.0
-2.093005882900651,-1.0,10.0,16.0,23007686.0
-2.0857500930258603,-1.0,10.0,32.0,23001916.0
-2.079124061850891,-1.0,10.0,64.0,22993742.0
-2.07354887572911,-1.0,10.0,128.0,22985676.0
-2.070221483653894,-1.0,10.0,256.0,22978804.0
-2.070554758862769,-1.0,10.0,512.0,22974094.0
-2.075986066260052,-1.0,10.0,1024.0,22969782.0
-2.0980032772776798,-1.0,5.0,0.0,22931247.51028907
-2.099176504954579,-1.0,5.0,8.0,23007032.0
-2.0938937900165087,-1.0,5.0,16.0,23009100.0
-2.086810626183205,-1.0,5.0,32.0,23002984.0
-2.0807148579709898,-1.0,5.0,64.0,22994402.0
-2.0765142867618405,-1.0,5.0,128.0,22985826.0
-2.076402571145491,-1.0,5.0,256.0,22978500.0
-2.0835979165624536,-1.0,5.0,512.0,22973888.0
-2.1032841487556904,-1.0,5.0,1024.0,22970198.0
